A,B,y_pred,y_scores
fluorescentlights,dellxps,cortelcophone,0.9851925373
fluorescentlights,fluorescentlights,cortelcophone,0.9995909333
fluorescentlights,hplaserjet,cortelcophone,0.9901868105
fluorescentlights,hpzbook,cortelcophone,0.9989821315
fluorescentlights,lgphone,cortelcophone,0.9981974959000001
fluorescentlights,linksysrouter,cortelcophone,0.9955150485
fluorescentlights,odroidxu4,cortelcophone,0.9979140162000001
fluorescentlights,polycomvoip,cortelcophone,0.9981414080000001
fluorescentlights,raspberrypi,cortelcophone,0.9997045398000001
fluorescentlights,roku2xs,cortelcophone,0.9937281609
fluorescentlights,usrpe310,cortelcophone,0.9985857010000001
fluorescentlights,viewsonicmonitor,cortelcophone,0.9994718432
fluorescentlights,viziobluray,cortelcophone,0.9984093308
fluorescentlights,vtechvsmile,cortelcophone,0.9997813106000001
fluorescentlights,wiiu,cortelcophone,0.9934329987
fluorescentlights,xboxone,cortelcophone,0.9997679591
hplaserjet,cortelcophone,hplaserjet,1.0
hplaserjet,cyberpowerups,hplaserjet,0.9999998808
hplaserjet,dellmonitor,hplaserjet,1.0
hplaserjet,delloptiplex,hplaserjet,0.9999998808
hplaserjet,dellxps,hplaserjet,0.9999997616
hplaserjet,fluorescentlights,hplaserjet,1.0
hplaserjet,hplaserjet,hplaserjet,0.9999998808
hplaserjet,hpzbook,hplaserjet,1.0
hplaserjet,lgphone,hplaserjet,1.0
hplaserjet,linksysrouter,hplaserjet,0.9999998808
hplaserjet,odroidxu4,hplaserjet,1.0
hplaserjet,polycomvoip,hplaserjet,0.9999998808
hplaserjet,raspberrypi,hplaserjet,0.9999998808
hplaserjet,roku2xs,hplaserjet,1.0
hplaserjet,usrpe310,hplaserjet,0.9999998808
hplaserjet,viewsonicmonitor,hplaserjet,1.0
hplaserjet,viziobluray,hplaserjet,0.9999998808
hplaserjet,vtechvsmile,hplaserjet,0.9999997616
hplaserjet,wiiu,hplaserjet,0.9999998808
hplaserjet,xboxone,hplaserjet,1.0
hpzbook,cortelcophone,hpzbook,0.9999995232000001
hpzbook,cyberpowerups,hpzbook,0.9999918938000001
hpzbook,dellmonitor,hpzbook,0.9999984503
hpzbook,delloptiplex,hpzbook,0.9999996424
hpzbook,dellxps,hpzbook,0.9999997616
hpzbook,fluorescentlights,hpzbook,0.9999991655
hpzbook,hplaserjet,hpzbook,0.9999971390000001
hpzbook,hpzbook,hpzbook,0.9999998808
hpzbook,lgphone,hpzbook,0.9999994040000001
hpzbook,linksysrouter,hpzbook,0.9999961853
hpzbook,odroidxu4,hpzbook,0.9999955893
hpzbook,polycomvoip,hpzbook,0.9999989271
hpzbook,raspberrypi,hpzbook,0.9999992847
hpzbook,roku2xs,hpzbook,0.9999995232000001
hpzbook,usrpe310,hpzbook,0.9999977350000001
hpzbook,viewsonicmonitor,hpzbook,0.9999994040000001
hpzbook,viziobluray,hpzbook,0.9999998808
hpzbook,vtechvsmile,hpzbook,0.9999997616
hpzbook,wiiu,hpzbook,0.9999986887000001
hpzbook,xboxone,hpzbook,0.9999992847
lgphone,cortelcophone,vtechvsmile,0.9822001457
lgphone,cyberpowerups,vtechvsmile,0.6086909771
lgphone,dellmonitor,cortelcophone,0.579638958
lgphone,delloptiplex,vtechvsmile,0.9927368164
lgphone,dellxps,vtechvsmile,0.6427437663000001
lgphone,fluorescentlights,vtechvsmile,0.9510356188
lgphone,hplaserjet,vtechvsmile,0.9784951806000001
lgphone,hpzbook,vtechvsmile,0.9893084764000001
lgphone,lgphone,vtechvsmile,0.9851685762000001
lgphone,linksysrouter,vtechvsmile,0.7510039806000001
lgphone,odroidxu4,vtechvsmile,0.9941573143
lgphone,polycomvoip,cortelcophone,0.6324806809
lgphone,raspberrypi,vtechvsmile,0.7574468255
lgphone,roku2xs,vtechvsmile,0.8710511923
lgphone,usrpe310,vtechvsmile,0.9843307137
lgphone,viewsonicmonitor,vtechvsmile,0.8780981898
lgphone,viziobluray,vtechvsmile,0.9889312983
lgphone,vtechvsmile,vtechvsmile,0.9607567191
lgphone,wiiu,vtechvsmile,0.9705699682000001
lgphone,xboxone,vtechvsmile,0.8324686885
linksysrouter,cortelcophone,linksysrouter,0.9999996424
linksysrouter,cyberpowerups,linksysrouter,0.9999996424
linksysrouter,dellmonitor,linksysrouter,0.9999995232000001
linksysrouter,delloptiplex,linksysrouter,0.9999991655
linksysrouter,dellxps,linksysrouter,1.0
linksysrouter,fluorescentlights,linksysrouter,0.9999997616
linksysrouter,hplaserjet,linksysrouter,0.9999998808
linksysrouter,hpzbook,linksysrouter,0.9999996424
linksysrouter,lgphone,linksysrouter,0.9999997616
linksysrouter,linksysrouter,linksysrouter,0.9999998808
linksysrouter,odroidxu4,linksysrouter,1.0
linksysrouter,polycomvoip,linksysrouter,0.9999997616
linksysrouter,raspberrypi,linksysrouter,0.9999998808
linksysrouter,roku2xs,linksysrouter,0.9999995232000001
linksysrouter,usrpe310,linksysrouter,0.9999997616
linksysrouter,viewsonicmonitor,linksysrouter,0.9999998808
linksysrouter,viziobluray,linksysrouter,0.9999997616
linksysrouter,vtechvsmile,linksysrouter,0.9999997616
linksysrouter,wiiu,linksysrouter,0.9999996424
linksysrouter,xboxone,linksysrouter,0.9999995232000001
odroidxu4,cortelcophone,odroidxu4,0.9999837875
odroidxu4,cyberpowerups,odroidxu4,0.9999600649
odroidxu4,dellmonitor,odroidxu4,0.9999501705
odroidxu4,delloptiplex,odroidxu4,0.9999109507
odroidxu4,dellxps,odroidxu4,0.9993752837000001
odroidxu4,fluorescentlights,odroidxu4,0.9999789
odroidxu4,hplaserjet,odroidxu4,0.9999725819
odroidxu4,hpzbook,odroidxu4,0.9999308586000001
odroidxu4,lgphone,odroidxu4,0.9999222755
odroidxu4,linksysrouter,odroidxu4,0.9995504022
odroidxu4,odroidxu4,odroidxu4,0.9998249412
odroidxu4,polycomvoip,odroidxu4,0.9999252558
odroidxu4,raspberrypi,odroidxu4,0.9994990826000001
odroidxu4,roku2xs,odroidxu4,0.9999469519
odroidxu4,usrpe310,odroidxu4,0.9999519587000001
odroidxu4,viewsonicmonitor,odroidxu4,0.9998738766
odroidxu4,viziobluray,odroidxu4,0.9999675751
odroidxu4,vtechvsmile,odroidxu4,0.9998557568
odroidxu4,wiiu,odroidxu4,0.9999841452
odroidxu4,xboxone,odroidxu4,0.9999457598
polycomvoip,cortelcophone,polycomvoip,0.9999996424
polycomvoip,cyberpowerups,polycomvoip,0.9999997616
polycomvoip,dellmonitor,polycomvoip,1.0
polycomvoip,delloptiplex,polycomvoip,1.0
polycomvoip,dellxps,polycomvoip,0.9999994040000001
polycomvoip,fluorescentlights,polycomvoip,1.0
polycomvoip,hplaserjet,polycomvoip,0.9999998808
polycomvoip,hpzbook,polycomvoip,0.9999996424
polycomvoip,lgphone,polycomvoip,1.0
polycomvoip,linksysrouter,polycomvoip,0.9999996424
polycomvoip,odroidxu4,polycomvoip,1.0
polycomvoip,polycomvoip,polycomvoip,1.0
polycomvoip,raspberrypi,polycomvoip,0.9999998808
polycomvoip,roku2xs,polycomvoip,0.9999998808
polycomvoip,usrpe310,polycomvoip,1.0
polycomvoip,viewsonicmonitor,polycomvoip,1.0
polycomvoip,viziobluray,polycomvoip,0.9999998808
polycomvoip,vtechvsmile,polycomvoip,1.0
polycomvoip,wiiu,polycomvoip,1.0
polycomvoip,xboxone,polycomvoip,0.9999995232000001
raspberrypi,cortelcophone,raspberrypi,0.9999995232000001
raspberrypi,cyberpowerups,raspberrypi,0.9999986887000001
raspberrypi,dellmonitor,raspberrypi,0.9999974966
raspberrypi,delloptiplex,raspberrypi,0.9999991655
raspberrypi,dellxps,raspberrypi,0.9999994040000001
raspberrypi,fluorescentlights,raspberrypi,0.9999986887000001
raspberrypi,hplaserjet,raspberrypi,0.9999985695
raspberrypi,hpzbook,raspberrypi,0.9999979734000001
raspberrypi,lgphone,raspberrypi,0.9999995232000001
raspberrypi,linksysrouter,raspberrypi,0.9999990463
raspberrypi,odroidxu4,raspberrypi,0.9999991655
raspberrypi,polycomvoip,raspberrypi,0.9999980927000001
raspberrypi,raspberrypi,raspberrypi,0.9999995232000001
raspberrypi,roku2xs,raspberrypi,0.9999965429000001
raspberrypi,usrpe310,raspberrypi,0.9999973774
raspberrypi,viewsonicmonitor,raspberrypi,0.9999997616
raspberrypi,viziobluray,raspberrypi,0.9999986887000001
raspberrypi,vtechvsmile,raspberrypi,0.9999989271
raspberrypi,wiiu,raspberrypi,0.9999970198
raspberrypi,xboxone,raspberrypi,0.9999996424
roku2xs,cortelcophone,roku2xs,0.9999780655
roku2xs,cyberpowerups,roku2xs,0.999876976
roku2xs,dellmonitor,roku2xs,0.9999710321
roku2xs,delloptiplex,roku2xs,0.9999339581000001
roku2xs,dellxps,roku2xs,0.9999045134000001
roku2xs,fluorescentlights,roku2xs,0.9999454021
roku2xs,hplaserjet,roku2xs,0.9999318123000001
roku2xs,hpzbook,roku2xs,0.9999748468
roku2xs,lgphone,roku2xs,0.9999481440000001
roku2xs,linksysrouter,roku2xs,0.9999920130000001
roku2xs,odroidxu4,roku2xs,0.9999775887000001
roku2xs,polycomvoip,roku2xs,0.9998816252
roku2xs,raspberrypi,roku2xs,0.9999524355
roku2xs,roku2xs,roku2xs,0.9999420643
roku2xs,usrpe310,roku2xs,0.9999827147
roku2xs,viewsonicmonitor,roku2xs,0.9999886751
roku2xs,viziobluray,roku2xs,0.9999955893
roku2xs,vtechvsmile,roku2xs,0.9999750853
roku2xs,wiiu,roku2xs,0.9999859333000001
roku2xs,xboxone,roku2xs,0.9999815226000001
usrpe310,cortelcophone,usrpe310,0.9999990463
usrpe310,cyberpowerups,usrpe310,0.9999989271
usrpe310,dellmonitor,usrpe310,0.9999979734000001
usrpe310,delloptiplex,usrpe310,0.9999997616
usrpe310,dellxps,usrpe310,0.9999982119
usrpe310,fluorescentlights,usrpe310,0.9999964237000001
usrpe310,hplaserjet,usrpe310,0.9999994040000001
usrpe310,hpzbook,usrpe310,0.9999989271
usrpe310,lgphone,usrpe310,0.9999995232000001
usrpe310,linksysrouter,usrpe310,0.9999994040000001
usrpe310,odroidxu4,usrpe310,0.9999930859
usrpe310,polycomvoip,usrpe310,0.9999994040000001
usrpe310,raspberrypi,usrpe310,0.9999995232000001
usrpe310,roku2xs,usrpe310,0.9999990463
usrpe310,usrpe310,usrpe310,0.9999991655
usrpe310,viewsonicmonitor,usrpe310,0.9999992847
usrpe310,viziobluray,usrpe310,0.9999992847
usrpe310,vtechvsmile,usrpe310,0.9999994040000001
usrpe310,wiiu,usrpe310,0.9999971390000001
usrpe310,xboxone,usrpe310,0.9999990463
viewsonicmonitor,cortelcophone,viewsonicmonitor,0.9999957085000001
viewsonicmonitor,cyberpowerups,viewsonicmonitor,0.9999984503
viewsonicmonitor,dellmonitor,viewsonicmonitor,0.9999984503
viewsonicmonitor,delloptiplex,viewsonicmonitor,0.9999967813
viewsonicmonitor,dellxps,viewsonicmonitor,0.9999958277000001
viewsonicmonitor,fluorescentlights,viewsonicmonitor,0.9999897480000001
viewsonicmonitor,hplaserjet,viewsonicmonitor,0.9999887943
viewsonicmonitor,hpzbook,viewsonicmonitor,0.9999920130000001
viewsonicmonitor,lgphone,viewsonicmonitor,0.9999754429000001
viewsonicmonitor,linksysrouter,viewsonicmonitor,0.9999911785000001
viewsonicmonitor,odroidxu4,viewsonicmonitor,0.9999724627000001
